city,region,lat,lon,affordability,grocery_affordability,entertainment,sunset_scenery,safety,jobs,internet,healthcare,education,heritage,nature,climate_comfort,quietness,mobility,tags,description
Tashkent,Tashkent City,41.2995,69.2401,52,56,94,70,76,96,93,95,96,78,66,64,38,96,capital metro jobs universities hospitals restaurants nightlife shopping remote work international airport museums parks,"Uzbekistan's largest urban center, with the strongest mix of jobs, universities, healthcare, public transport, dining, and entertainment, but a higher prototype cost profile and a busier pace."
Samarkand,Samarkand Region,39.6542,66.9597,70,72,82,91,80,72,76,77,80,99,74,70,61,83,silk road registan history architecture tourism sunset restaurants culture train airport walkable old city,"A major Silk Road city combining world-famous architecture, strong tourism activity, scenic evenings, restaurants, universities, and good intercity connections."
Bukhara,Bukhara Region,39.7681,64.4556,74,76,72,92,82,65,72,72,73,98,58,61,73,76,historic center silk road old city sunset courtyards culture tourism calm affordable markets architecture,"A compact historic city with a calm atmosphere, strong cultural identity, memorable sunsets over old architecture, and a relatively affordable prototype profile."
Khiva,Khorezm Region,41.3783,60.3639,77,78,63,97,84,53,66,62,61,100,56,57,82,62,itchan kala walled city heritage sunset photography quiet tourism traditional architecture walkable,"A small walled heritage city especially strong for historic atmosphere, photography, sunset views, walkability, and a slower lifestyle."
Nukus,Karakalpakstan,42.46,59.6166,84,82,52,80,79,56,65,64,66,76,68,48,84,58,savitsky museum karakalpak culture desert quiet affordable art remote regional center,"A quieter and more affordable regional capital known for distinctive art and Karakalpak culture, with a remote desert setting and fewer big-city services."
Fergana,Fergana Region,40.3894,71.787,78,83,69,78,82,70,74,75,76,69,86,74,70,73,fergana valley green parks markets family friendly affordable food regional services nature,"A greener regional city in the Fergana Valley with strong markets, affordable groceries, family-oriented neighborhoods, and good access to valley destinations."
Andijan,Andijan Region,40.7821,72.3442,80,85,66,72,80,72,73,74,75,71,77,71,66,72,fergana valley commerce markets affordable groceries family business regional center parks,"A commercially active valley city with strong local markets, a relatively affordable prototype cost profile, family services, and regional business opportunities."
Namangan,Namangan Region,40.9983,71.6726,81,84,67,76,82,69,72,73,74,73,83,73,71,69,gardens flowers valley nature affordable markets family calm regional city parks,"A large but comparatively calm valley city associated with gardens, markets, family life, and access to greener landscapes."
Qarshi,Qashqadaryo Region,38.8606,65.7891,83,82,58,75,80,67,68,69,69,68,61,55,78,68,affordable quiet regional center local markets industry railway warm climate,"An affordable regional center with a practical, quieter lifestyle, local industry, railway connections, and fewer entertainment options than the major tourism cities."
Termez,Surxondaryo Region,37.2242,67.2783,82,80,55,88,78,61,66,67,67,84,75,46,79,61,southern city archaeology buddhist heritage amu darya sunset warm climate quiet border region,"A southern city with important archaeological heritage, dramatic river and desert light, warm weather, and a slower regional lifestyle."
Jizzakh,Jizzakh Region,40.1158,67.8422,85,84,54,79,82,60,67,66,67,59,88,69,84,72,mountains zaamin nature hiking affordable quiet highway family fresh air,"A practical and affordable city with strong access to mountain and nature destinations, a quieter pace, and convenient east-west road and rail positioning."
Gulistan,Sirdaryo Region,40.4897,68.7842,88,87,47,68,83,57,66,64,64,48,59,62,88,70,very affordable quiet small city railway agriculture low cost calm,"A smaller, quiet regional capital with one of the strongest illustrative affordability profiles, straightforward transport links, and limited nightlife."
Navoi,Navoi Region,40.0844,65.3792,72,74,61,79,82,81,75,74,72,57,60,58,73,73,industry mining jobs planned city airport railway parks practical career,"A planned industrial city with comparatively strong employment potential, orderly urban form, parks, and useful air and rail links."
Urgench,Khorezm Region,41.55,60.6333,79,80,62,79,81,64,70,70,70,76,57,56,76,76,gateway to khiva airport railway affordable markets regional services khorezm,"A practical service and transport base for Khorezm, offering airport and rail access, local markets, and convenient proximity to Khiva."
Kokand,Fergana Region,40.5286,70.9425,82,84,64,75,81,66,70,69,71,88,72,71,72,74,khanate palace heritage valley markets affordable traditional crafts railway,"A historic Fergana Valley city with palace architecture, traditional crafts, markets, and a balanced blend of affordability and cultural interest."
Shahrisabz,Qashqadaryo Region,39.0578,66.8342,84,83,57,89,83,56,65,63,64,93,90,72,86,63,amir timur heritage mountains scenic sunset quiet affordable gardens history,"A smaller historic city south of Samarkand with mountain scenery, major Timurid heritage, attractive sunsets, and a quiet lifestyle."
